﻿Réseau;Code Etablissement;Etablissement;Code agence;Agence;Adresse;Ville;Code postal;Emplacement;Horaires Automate;Typologie;Etat de fonctionnement;point_geographique
CE;13485;CE LANGUEDOC-ROUSSILLON;26;CARCASSONNE PELLETAN/00026;5 BOULEVARD CAMILLE PELLETAN;CARCASSONNE;11000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.211683, 2.355169
CE;13485;CE LANGUEDOC-ROUSSILLON;26;CARCASSONNE PELLETAN/00026;5 BOULEVARD CAMILLE PELLETAN;CARCASSONNE;11000;Interne;;CGE;Disponible;43.211683, 2.355169
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22305;PONTIVY/22305;1 RUE DU TRIBUNAL;PONTIVY;56300;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.066051, -2.968126
BP;10548;BANQUE DE SAVOIE;1700;LA ROCHETTE/01700;18 RUE MAURICE REY;VALGELON LA ROCHETTE;73110;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;45.456491, 6.119267
CE;17515;CE ILE-DE-FRANCE;575;SARCELLES CENTRE/00575;85B RUE PIERRE BROSSOLETTE;SARCELLES;95200;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.994241, 2.377895
CE;17515;CE ILE-DE-FRANCE;575;SARCELLES CENTRE/00575;85B RUE PIERRE BROSSOLETTE;SARCELLES;95200;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;48.994241, 2.377895
CE;17515;CE ILE-DE-FRANCE;509;BEAUCHAMP/00509;155 CHAUSSEE JULES CESAR;BEAUCHAMP;95250;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;49.009713, 2.196145
BP;16807;BP AUVERGNE RHONE ALPES;6;MOUTIERS TARENTAISE/00006;30 AVENUE DU 08 MAI 1945;MOUTIERS;73600;SAS;TLJ {06:00-22:00};GAB;Disponible;45.48559, 6.530844
CE;17515;CE ILE-DE-FRANCE;501;AULNAY SOUS BOIS CENTRE/00501;25 BOULEVARD DE STRASBOURG;AULNAY-SOUS-BOIS;93600;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.928628, 2.491798
CE;17515;CE ILE-DE-FRANCE;581;TAVERNY/00581;56 AVENUE DE LA GARE;TAVERNY;95150;Interne;Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-12:45 14:00-16:15} Sam {08:30-12:45};GVV;Hors service;49.025734, 2.220965
CE;17515;CE ILE-DE-FRANCE;576;SARCELLES FLANADES/00576;17 BOULEVARD EDOUARD BRANLYCENTRE COMMERCIAL;SARCELLES;95200;Interne;Mar et Jeu et Ven {09:15-12:45 15:00-18:30} Mer {09:15-12:45 14:00-16:00} Sam {08:30-12:30};CAR;Disponible;48.978519, 2.379016
CE;17515;CE ILE-DE-FRANCE;532;GAGNY/00532;6 RUE SAINT GERMAIN;GAGNY;93220;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.884841, 2.532341
CE;17515;CE ILE-DE-FRANCE;532;GAGNY/00532;6 RUE SAINT GERMAIN;GAGNY;93220;SAS;TLJ {06:00-22:00};GVV;Disponible;48.884841, 2.532341
CE;17515;CE ILE-DE-FRANCE;564;FLINS SUR SEINE/00564;ROUTE DEPARTMENTALE 114CENTRE COMMERCIAL;FLINS-SUR-SEINE;78410;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;48.967653, 1.870474
BP;10548;BANQUE DE SAVOIE;1380;VAL D'ISERE/01380;PLACE DU DOCTEUR PETRIBP231;VAL D'ISERE;73150;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;45.462087, 6.963722
CE;13485;CE LANGUEDOC-ROUSSILLON;50;NARBONNE LA MAYRALE/00050;8 ROUTE DE MARCORIGNAN;NARBONNE;11100;Dans la rue;TLJ {00:00-23:59};GDV;Disponible;43.19099, 2.983517
BP;10548;BANQUE DE SAVOIE;1780;ALLEVARD/01780;RUE CHARAMIL;ALLEVARD;38580;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;45.393015, 6.074235
BP;16807;BP AUVERGNE RHONE ALPES;77;LES MENUIRES/00077;IMMEUBLE L'OISANS;LES-MENUIRES;73440;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;
CE;13485;CE LANGUEDOC-ROUSSILLON;201;BEZIERS FONT NEUVE/00201;AVENUE DE LA FONT NEUVE;BEZIERS;34500;Interne;Mar et Mer et Ven {08:30-12:30 13:30-18:00} Jeu {08:30-12:30 14:30-18:00} Sam {08:30-12:30};GDV;Disponible;43.351677, 3.217985
CE;13485;CE LANGUEDOC-ROUSSILLON;195;MURVIEL LES BEZIERS/00195;10 RUE GEORGES DURAND;MURVIEL-LES-BEZIERS;34490;SAS;TLJ {06:00-23:00};GAB;Disponible;43.440327, 3.145891
CE;14445;CE BRETAGNE-PAYS DE LOIRE;278;GENNES/00278;3 PLACE DE L ETOILE;GENNES;49350;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;47.340973, -0.231232
CE;14445;CE BRETAGNE-PAYS DE LOIRE;324;ANGERS LES PLANTES/00324;ANGLE RUE SAVARY LISE;ANGERS;49100;Interne;Mar au Ven {10:00-12:30 14:00-19:00} Sam {09:00-12:15};DRM;Disponible;47.472479, -0.54277
CE;17515;CE ILE-DE-FRANCE;628;FONTENAY LE FLEURY/00628;2 ET 4 RUE LOUIS PASTEUR;FONTENAY-LE-FLEURY;78330;Dans la rue;TLJ {06:00-23:59};GAB;Service dégradé;48.811904, 2.045967
CE;17515;CE ILE-DE-FRANCE;628;FONTENAY LE FLEURY/00628;2 ET 4 RUE LOUIS PASTEUR;FONTENAY-LE-FLEURY;78330;SAS;TLJ {06:00-22:00};GVV;Disponible;48.811904, 2.045967
BP;16807;BP AUVERGNE RHONE ALPES;63;COGNIN/00063;18 ROUTE DE LYON;COGNIN;73160;SAS;TLJ {06:00-22:00};GAB;Disponible;45.561804, 5.898773
CE;13485;CE LANGUEDOC-ROUSSILLON;51;LEZIGNAN/00051;20 AVENUE WILSON;LEZIGNAN-CORBIERES;11200;Interne;;UDV;Disponible;43.200956, 2.760643
CE;14445;CE BRETAGNE-PAYS DE LOIRE;524;LA CHATAIGNERAIE/00524;1 RUE GABRIEL BRIAND;LA CHATAIGNERAIE;85120;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;46.649444, -0.742006
CE;14445;CE BRETAGNE-PAYS DE LOIRE;254;ANGERS LA MADELEINE/00254;92 RUE VOLNEY;ANGERS;49000;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;47.460091, -0.537422
CE;14445;CE BRETAGNE-PAYS DE LOIRE;22025;PLABENNEC/22025;2 PLACE DU GENERAL DE GAULLE;PLABENNEC;29860;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;48.502216, -4.426226
CE;17515;CE ILE-DE-FRANCE;631;GUYANCOURT/00631;43 RUE GEORGES HAUSSMANNLA VILLAROY;GUYANCOURT;78280;SAS;TLJ {06:00-22:00};GVV;Service dégradé;48.768486, 2.076734
CE;17515;CE ILE-DE-FRANCE;651;RUEIL 2000/00651;2 - 4 PLACE DE L EUROPE;RUEIL-MALMAISON;92500;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;48.888627, 2.168345
CE;17515;CE ILE-DE-FRANCE;657;BEYNES/00657;CENTRE COMMERCIALLA PETITE MAULDRE;BEYNES;78650;SAS;TLJ {06:00-22:00};GVV;Disponible;48.8516, 1.879144
CE;17515;CE ILE-DE-FRANCE;73;PUTEAUX/00073;51 BOULEVARD RICHARD WALLACE;PUTEAUX;92800;SAS;TLJ {06:00-22:00};GVV;Disponible;48.880666, 2.237993
CE;17515;CE ILE-DE-FRANCE;326;MORMANT/00326;92 RUE DU GENERAL DE GAULLE;MORMANT;77720;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.550127, 2.90067
CE;17515;CE ILE-DE-FRANCE;636;LES CLAYES SOUS BOIS/00636;30 RUE MAURICE JOUET;LES CLAYES-SOUS-BOIS;78340;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};CAR;Disponible;48.823031, 1.990463
CE;17515;CE ILE-DE-FRANCE;640;MEUDON LA FORET/00640;CENTRE COMMERCIALJOLI MAI;MEUDON;92190;SAS;TLJ {06:00-22:00};GVV;Disponible;48.814821, 2.241009
CE;17515;CE ILE-DE-FRANCE;659;ELANCOURT TEMPLIERS/00659;CENTRE COMMERCIALLA VILLEDIEU;ELANCOURT;78990;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;48.770326, 1.969605
CE;17515;CE ILE-DE-FRANCE;659;ELANCOURT TEMPLIERS/00659;CENTRE COMMERCIALLA VILLEDIEU;ELANCOURT;78990;SAS;TLJ {06:00-22:00};GVV;Disponible;48.770326, 1.969605
CE;17515;CE ILE-DE-FRANCE;175;LE PLESSIS ROBINSON/00175;3 AVENUE ARISTIDE BRIAND;LE PLESSIS-ROBINSON;92350;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.780509, 2.2571
CE;17515;CE ILE-DE-FRANCE;38;PARIS MALESHERBES/00038;37 RUE JOUFFROY D ABBANS;PARIS;75017;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-18:30} Sam {09:00-13:00 13:45-16:15};GVV;Disponible;48.885537, 2.308546
CE;17515;CE ILE-DE-FRANCE;305;MONTEREAU FAULT YONNE/00305;15 RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;77130;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};CAR;Disponible;48.385554, 2.954273
CE;17515;CE ILE-DE-FRANCE;327;PONTAULT COMBAULT CARREFOUR/00327;CENTRE COMMERCIAL CARREFOURRN 4;PONTAULT-COMBAULT;77340;Dans la rue;TLJ {06:00-23:59};GAB;Disponible;48.776838, 2.597159
CE;17515;CE ILE-DE-FRANCE;402;MEAUX DUNANT/00402;10 PLACE COLBERT;MEAUX;77100;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.949856, 2.904812
CE;17515;CE ILE-DE-FRANCE;7;PARIS SAINT LAZARE/00007;100-102 rue Saint Lazare;PARIS;75009;Interne;Lun au Mer et Ven {11:30-18:00} Jeu {11:30-17:15} Sam {09:00-12:30 13:45-16:30};GVV;Disponible;48.875761, 2.327496
BP;16607;BP SUD;243;AGDE LA TREILLE/00243;55 ROUTE DE SETE;AGDE;34300;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.310741, 3.481295
BP;16607;BP SUD;340;MONTPELLIER CAMPUS/00340;34 AVENUE EMILE DIACON;MONTPELLIER;34000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;43.584724, 3.871595
CE;17515;CE ILE-DE-FRANCE;41;PARIS TROCADERO/00041;84 RUE DE LONGCHAMP;PARIS;75016;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;48.86549, 2.2838
CE;17515;CE ILE-DE-FRANCE;41;PARIS TROCADERO/00041;84 RUE DE LONGCHAMP;PARIS;75016;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00};UDV;Disponible;48.86549, 2.2838
CE;17515;CE ILE-DE-FRANCE;301;PROVINS/00301;1 RUE VICTOR ARNOUL;PROVINS;77160;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00};CAR;Disponible;48.559081, 3.302367
CE;17515;CE ILE-DE-FRANCE;301;PROVINS/00301;1 RUE VICTOR ARNOUL;PROVINS;77160;SAS;TLJ {06:00-22:00};GVV;Disponible;48.559081, 3.302367
CE;17515;CE ILE-DE-FRANCE;595;CERGY CERCLADES/00595;2 PLACE DES CERCLADESCENTRE COMMERCIAL;CERGY;95000;Interne;Mar et Jeu {10:00-13:00 15:00-18:45} Mer et Ven {10:00-17:45} Sam {09:00-12:30};GVV;Hors service;49.037636, 2.080998
CE;17515;CE ILE-DE-FRANCE;595;CERGY CERCLADES/00595;2 PLACE DES CERCLADESCENTRE COMMERCIAL;CERGY;95000;Dans la rue;TLJ {00:00-23:59};GAB;Disponible;49.037636, 2.080998
CE;17515;CE ILE-DE-FRANCE;595;CERGY CERCLADES/00595;2 PLACE DES CERCLADESCENTRE COMMERCIAL;CERGY;95000;Interne;Mar et Jeu {10:00-13:00 15:00-18:45} Mer et Ven {10:00-17:45} Sam {09:00-12:30};CAR;Disponible;49.037636, 2.080998
CE;17515;CE ILE-DE-FRANCE;163;JOINVILLE LE PONT/00163;52B AVENUE DU GENERAL GALLIENI;JOINVILLE-LE-PONT;94340;SAS;TLJ {06:00-22:00};GVV;Disponible;48.819909, 2.478151
CE;17515;CE ILE-DE-FRANCE;315;MORET SUR LOING/00315;23 RUE GRANDE;MORET-SUR-LOING;77250;SAS;TLJ {06:00-22:00};GDV;Disponible;48.373163, 2.816848
CE;17515;CE ILE-DE-FRANCE;315;MORET SUR LOING/00315;23 RUE GRANDE;MORET-SUR-LOING;77250;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00};CAR;Disponible;48.373163, 2.816848
CE;17515;CE ILE-DE-FRANCE;512;LE BLANC MESNIL/00512;21 AVENUE PIERRE ET MARIE CURIE;LE BLANC-MESNIL;93150;Interne;Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-12:45 14:00-16:15} Sam {08:30-12:45};GVV;Service dégradé;48.936092, 2.45998
CE;17515;CE ILE-DE-FRANCE;568;LE RAINCY/00568;103 AVENUE DE LA RESISTANCE;LE RAINCY;93340;SAS;TLJ {06:00-22:00};GVV;Disponible;48.89651, 2.514873
CE;13485;CE LANGUEDOC-ROUSSILLON;266;MONTPELLIER LA POMPIGNANE/00266;1651 AVENUE DE LA POMPIGNANE;MONTPELLIER;34000;Interne;;UDV;Disponible;43.621161, 3.89748
CE;13485;CE LANGUEDOC-ROUSSILLON;266;MONTPELLIER LA POMPIGNANE/00266;1651 AVENUE DE LA POMPIGNANE;MONTPELLIER;34000;Dans la rue;TLJ {00:00-23:59};GDV;Disponible;43.621161, 3.89748
CE;13485;CE LANGUEDOC-ROUSSILLON;585;MONTPELLIER LES ARCEAUX/00585;29 RUE SAINT LOUIS;MONTPELLIER;34000;Dans la rue;TLJ {00:00-23:59};GDV;Disponible;43.612049, 3.866429
CE;13485;CE LANGUEDOC-ROUSSILLON;246;MONTPELLIER CHAPTAL/00246;PLACE CHAPTAL;MONTPELLIER;34000;Interne;;UDV;Disponible;43.60498, 3.86999
